,Date,Close,Price
3482,2013-05-13,53179.0,2.0074
3483,2013-05-14,53100.0,2.0204
3484,2013-05-15,52490.0,2.0229
3485,2013-05-16,52849.0,2.0268
3486,2013-05-17,52417.0,2.0353
3487,2013-05-20,52312.0,2.0398
3488,2013-05-21,52548.0,2.0413
3489,2013-05-22,52997.0,2.049
3490,2013-05-23,53150.0,2.0442
3491,2013-05-24,54171.0,2.0518
3492,2013-05-27,54981.0,2.0545
3493,2013-05-28,55973.0,2.0757
3494,2013-05-29,55358.0,2.1106
3495,2013-05-30,55378.0,2.1103
3496,2013-05-31,56077.0,2.1423
3497,2013-06-03,56460.0,2.1243
3498,2013-06-04,55440.0,2.1258
3499,2013-06-05,54877.0,2.1288
3500,2013-06-06,54154.0,2.1304
3501,2013-06-07,55073.0,2.1321
3502,2013-06-10,54539.0,2.1466
3503,2013-06-11,54173.0,2.1323
3504,2013-06-12,54256.0,2.156
3505,2013-06-13,54013.0,2.1218
3506,2013-06-14,54437.0,2.1528
3507,2013-06-17,53832.0,2.1705
3508,2013-06-18,53385.0,2.181
3509,2013-06-19,52741.0,2.225
3510,2013-06-20,52249.0,2.2586
3511,2013-06-21,52624.0,2.242
3512,2013-06-24,51804.0,2.226
3513,2013-06-25,52230.0,2.2139
3514,2013-06-26,53452.0,2.187
3515,2013-06-27,54307.0,2.1989
3516,2013-06-28,53033.0,2.2321
3517,2013-07-01,52688.0,2.2283
3518,2013-07-02,52801.0,2.2546
3519,2013-07-03,52264.0,2.2681
3520,2013-07-04,51447.0,2.248
3521,2013-07-05,51861.0,2.2525
3522,2013-07-08,51847.0,2.2642
3523,2013-07-09,52482.0,2.2571
3524,2013-07-10,51245.0,2.2643
3525,2013-07-11,50349.0,2.2538
3526,2013-07-12,50216.0,2.2673
3527,2013-07-15,50788.0,2.2193
3528,2013-07-16,50944.0,2.2531
3529,2013-07-17,51165.0,2.2257
3530,2013-07-18,50993.0,2.2271
3531,2013-07-19,50068.0,2.2467
3532,2013-07-22,50122.0,2.2328
3533,2013-07-23,50051.0,2.2134
3534,2013-07-24,50280.0,2.2513
3535,2013-07-25,50090.0,2.2428
3536,2013-07-26,50563.0,2.2568
3537,2013-07-29,50819.0,2.2687
3538,2013-07-30,51186.0,2.2832
3539,2013-07-31,51356.0,2.2771
3540,2013-08-01,51221.0,2.3045
3541,2013-08-02,51267.0,2.2876
3542,2013-08-05,51507.0,2.3058
3543,2013-08-06,50341.0,2.2991
3544,2013-08-07,50981.0,2.314
3545,2013-08-08,50974.0,2.2844
3546,2013-08-09,50430.0,2.2717
3547,2013-08-12,50577.0,2.2873
3548,2013-08-13,49322.0,2.3138
3549,2013-08-14,49696.0,2.3244
3550,2013-08-15,49427.0,2.3407
3551,2013-08-16,49703.0,2.3925
3552,2013-08-19,50105.0,2.4129
3553,2013-08-20,49696.0,2.3936
3554,2013-08-21,49182.0,2.4524
3555,2013-08-22,48708.0,2.4348
3556,2013-08-23,48542.0,2.3486
3557,2013-08-26,49300.0,2.3792
3558,2013-08-27,48321.0,2.372
3559,2013-08-28,47787.0,2.3442
3560,2013-08-29,47701.0,2.3598
3561,2013-08-30,47841.0,2.3862
3562,2013-09-02,47557.0,2.378
3563,2013-09-03,47244.0,2.3585
3564,2013-09-04,47639.0,2.3605
3565,2013-09-05,46148.0,2.3249
3566,2013-09-06,46964.0,2.3066
3567,2013-09-09,46624.0,2.2763
3568,2013-09-10,47738.0,2.2836
3569,2013-09-11,48074.0,2.2772
3570,2013-09-12,47711.0,2.2752
3571,2013-09-13,48463.0,2.2803
3572,2013-09-16,48217.0,2.2843
3573,2013-09-17,47813.0,2.256
3574,2013-09-18,48201.0,2.1865
3575,2013-09-19,47576.0,2.2026
3576,2013-09-20,46600.0,2.2102
3577,2013-09-23,47151.0,2.1986
3578,2013-09-24,47289.0,2.201
3579,2013-09-25,47380.0,2.2324
3580,2013-09-26,47393.0,2.2459
3581,2013-09-27,46716.0,2.2523
3582,2013-09-30,46599.0,2.2162
3583,2013-10-01,47607.0,2.2157
3584,2013-10-02,47094.0,2.1914
3585,2013-10-03,46589.0,2.207
3586,2013-10-04,47093.0,2.212
3587,2013-10-07,46244.0,2.2047
3588,2013-10-08,45533.0,2.2115
3589,2013-10-09,45698.0,2.2075
3590,2013-10-10,45862.0,2.1799
3591,2013-10-11,45444.0,2.174
3592,2013-10-14,44966.0,2.1816
3593,2013-10-15,45118.0,2.1777
3594,2013-10-16,46150.0,2.1806
3595,2013-10-17,46567.0,2.1525
3596,2013-10-18,47278.0,2.1689
3597,2013-10-21,47381.0,2.1735
3598,2013-10-22,47993.0,2.1725
3599,2013-10-23,48180.0,2.1881
3600,2013-10-24,47966.0,2.204
3601,2013-10-25,49647.0,2.1877
3602,2013-10-28,49768.0,2.1805
3603,2013-10-29,50415.0,2.185
3604,2013-10-30,50270.0,2.184
3605,2013-10-31,51701.0,2.2401
3606,2013-11-01,51408.0,2.2567
3607,2013-11-04,51082.0,2.2458
3608,2013-11-05,52155.0,2.2823
3609,2013-11-06,51629.0,2.2855
3610,2013-11-07,51185.0,2.3058
3611,2013-11-08,51127.0,2.3142
3612,2013-11-11,51867.0,2.3308
3613,2013-11-12,51596.0,2.3333
3614,2013-11-13,50454.0,2.3335
3615,2013-11-14,51201.0,2.3137
3616,2013-11-15,52112.0,2.319
3617,2013-11-18,51977.0,2.2633
3618,2013-11-19,51570.0,2.2713
3619,2013-11-20,51817.0,2.2717
3620,2013-11-21,51399.0,2.3062
3621,2013-11-22,51384.0,2.2788
3622,2013-11-25,51839.0,2.2837
3623,2013-11-26,51626.0,2.2967
3624,2013-11-27,52980.0,2.33
3625,2013-11-28,53446.0,2.3176
3626,2013-11-29,53780.0,2.3358
3627,2013-12-02,54053.0,2.3559
3628,2013-12-03,53422.0,2.3758
3629,2013-12-04,53100.0,2.3914
3630,2013-12-05,54053.0,2.3612
3631,2013-12-06,53907.0,2.3267
3632,2013-12-09,54413.0,2.3197
3633,2013-12-10,53856.0,2.309
3634,2013-12-11,53976.0,2.3413
3635,2013-12-12,53353.0,2.3327
3636,2013-12-13,52366.0,2.33
3637,2013-12-16,52203.0,2.3278
3638,2013-12-17,52806.0,2.3194
3639,2013-12-18,52626.0,2.3262
3640,2013-12-19,52932.0,2.3535
3641,2013-12-20,52172.0,2.3876
3642,2013-12-23,52640.0,2.3571
3643,2013-12-24,52239.0,2.3573
3644,2013-12-25,51239.0,2.3571
3645,2013-12-26,51606.0,2.3518
3646,2013-12-27,52032.0,2.3384
3647,2013-12-30,51833.0,2.3621
3648,2013-12-31,51559.0,2.3621
3649,2014-01-01,53129.0,2.3621
3650,2014-01-02,54273.0,2.3876
3651,2014-01-03,54604.0,2.3765
3652,2014-01-06,55102.0,2.3761
3653,2014-01-07,54807.0,2.3725
3654,2014-01-08,54630.0,2.3967
3655,2014-01-09,54300.0,2.3904
3656,2014-01-10,55203.0,2.3584
3657,2014-01-13,54638.0,2.3598
3658,2014-01-14,54210.0,2.3503
3659,2014-01-15,54281.0,2.3605
3660,2014-01-16,53426.0,2.3636
3661,2014-01-17,53506.0,2.3426
3662,2014-01-20,53157.0,2.3442
3663,2014-01-21,53168.0,2.3575
3664,2014-01-22,53171.0,2.3731
3665,2014-01-23,53029.0,2.3959
3666,2014-01-24,53875.0,2.3982
3667,2014-01-27,54055.0,2.4215
3668,2014-01-28,53802.0,2.4263
